collegeName,country,dateOfBirthUTC,firstName,heightFeet,heightInches,heightMeters,isActive,jersey,lastAffiliation,lastName,nbaDebutYear,personId,pos,teamId,temporaryDisplayName,weightKilograms,weightPounds,yearsPro
Holy Cross,USA,1993-03-06,Malcolm,6,7,2.01,1,13,Holy Cross/USA,Miller,2017,1626259,F,1610612761,"Miller, Malcolm",95.3,210,2
St. Mary's (CA),Australia,1988-08-11,Patty,6,0,1.83,1,8,St. Mary's (CA)/Australia,Mills,2009,201988,G,1610612759,"Mills, Patty",81.6,180,10
Louisiana Tech,USA,1985-02-10,Paul,6,8,2.03,1,4,Louisiana TechUSA/USA,Millsap,2006,200794,F,1610612743,"Millsap, Paul",111.6,246,13
Southern Methodist University,USA,1996-09-26,Shake,6,6,1.98,1,18,Southern Methodist University/USA,Milton,2018,1629003,G,1610612755,"Milton, Shake",93.9,207,1
Louisville,USA,1996-09-07,Donovan,6,3,1.9,1,45,Louisville/USA,Mitchell,2017,1628378,G,1610612762,"Mitchell, Donovan",97.5,215,2
Iowa State,Canada,1993-08-03,Naz,6,4,1.93,1,15,Iowa State/Canada,Mitrou-Long,2017,1628513,G,1610612754,"Mitrou-Long, Naz",98.9,218,2
 ,France,1998-07-18,Adam,6,5,1.96,1,20,France/France,Mokoka,,1629690,G,1610612741,"Mokoka, Adam",95.3,210,0
Kentucky,USA,1998-02-04,Malik,6,3,1.9,1,1,Kentucky/USA,Monk,2017,1628370,G,1610612766,"Monk, Malik",90.7,200,2
Purdue,USA,1989-02-25,E'Twaun,6,4,1.93,1,55,Purdue/USA,Moore,2011,202734,G,1610612740,"Moore, E'Twaun",86.6,191,8
Murray State University,USA,1999-08-10,Ja,6,3,1.9,1,,Murray State University/USA,Morant,,1629630,G,1610612763,"Morant, Ja",79.4,175,0
Kansas,USA,1989-09-02,Marcus,6,9,2.06,1,,Kansas/USA,Morris,2011,202694,F,1610612752,"Morris, Marcus",106.6,235,8
Kansas,USA,1989-09-02,Markieff,6,10,2.08,1,8,Kansas/USA,Morris,2011,202693,F,1610612765,"Morris, Markieff",111.1,245,8
